data-object-id,data-original-title,list_entry_id,film_slug,URL
filmListEntry:3205831736,"Night of the Comet (1984) ",filmListEntry:3205831736,night-of-the-comet,https://letterboxd.com/film/night-of-the-comet/
filmListEntry:3205839301,"Jaws 2 (1978) ",filmListEntry:3205839301,jaws-2,https://letterboxd.com/film/jaws-2/
filmListEntry:3210837664,"I Blame Society (2020) ",filmListEntry:3210837664,i-blame-society,https://letterboxd.com/film/i-blame-society/
filmListEntry:3215212528,"The Lodge (2019) ",filmListEntry:3215212528,the-lodge-2019,https://letterboxd.com/film/the-lodge-2019/
filmListEntry:3235199971,"Slender Man (2018) ",filmListEntry:3235199971,slender-man,https://letterboxd.com/film/slender-man/
filmListEntry:3235199972,"Leprechaun (1993) ",filmListEntry:3235199972,leprechaun,https://letterboxd.com/film/leprechaun/
filmListEntry:3235199973,"Scream (2022) ",filmListEntry:3235199973,scream-2022,https://letterboxd.com/film/scream-2022/
filmListEntry:3235199974,"The People Under the Stairs (1991) ",filmListEntry:3235199974,the-people-under-the-stairs,https://letterboxd.com/film/the-people-under-the-stairs/
filmListEntry:3235199975,"My Bloody Valentine (1981) ",filmListEntry:3235199975,my-bloody-valentine,https://letterboxd.com/film/my-bloody-valentine/
filmListEntry:3259475121,"Basket Case (1982) ",filmListEntry:3259475121,basket-case,https://letterboxd.com/film/basket-case/
filmListEntry:3259475122,"Crawl (2019) ",filmListEntry:3259475122,crawl-2019,https://letterboxd.com/film/crawl-2019/
filmListEntry:3259475123,"X (2022) ",filmListEntry:3259475123,x-2022,https://letterboxd.com/film/x-2022/
filmListEntry:3259475124,"Fresh (2022) ",filmListEntry:3259475124,fresh-2022,https://letterboxd.com/film/fresh-2022/
filmListEntry:3259475125,"Slugs (1988) ",filmListEntry:3259475125,slugs,https://letterboxd.com/film/slugs/
filmListEntry:3267074289,"Studio 666 (2022) ",filmListEntry:3267074289,studio-666-2022,https://letterboxd.com/film/studio-666-2022/
filmListEntry:3267074290,"The 'Burbs (1989) ",filmListEntry:3267074290,the-burbs,https://letterboxd.com/film/the-burbs/
filmListEntry:3286059695,"Slash/Back (2022) ",filmListEntry:3286059695,slash-back,https://letterboxd.com/film/slash-back/
filmListEntry:3286059696,"Cheerleader Camp (1988) ",filmListEntry:3286059696,cheerleader-camp,https://letterboxd.com/film/cheerleader-camp/
filmListEntry:3286059697,"Just Before Dawn (1981) ",filmListEntry:3286059697,just-before-dawn-1981,https://letterboxd.com/film/just-before-dawn-1981/
filmListEntry:3286059698,"What We Do in the Shadows (2014) ",filmListEntry:3286059698,what-we-do-in-the-shadows,https://letterboxd.com/film/what-we-do-in-the-shadows/
filmListEntry:3310277553,"Troll Hunter (2010) ",filmListEntry:3310277553,troll-hunter,https://letterboxd.com/film/troll-hunter/
filmListEntry:3314381884,"The Convent (2000) ",filmListEntry:3314381884,the-convent,https://letterboxd.com/film/the-convent/
filmListEntry:3327784472,"Hello Mary Lou: Prom Night II (1987) ",filmListEntry:3327784472,hello-mary-lou-prom-night-ii,https://letterboxd.com/film/hello-mary-lou-prom-night-ii/
filmListEntry:3327784473,"Prom Night III: The Last Kiss (1990) ",filmListEntry:3327784473,prom-night-iii-the-last-kiss,https://letterboxd.com/film/prom-night-iii-the-last-kiss/
filmListEntry:3327784474,"Office Killer (1997) ",filmListEntry:3327784474,office-killer,https://letterboxd.com/film/office-killer/
filmListEntry:3327784475,"Wild Zero (1999) ",filmListEntry:3327784475,wild-zero,https://letterboxd.com/film/wild-zero/
filmListEntry:3333805863,"Night of the Creeps (1986) ",filmListEntry:3333805863,night-of-the-creeps,https://letterboxd.com/film/night-of-the-creeps/
filmListEntry:3343339079,"Incantation (2022) ",filmListEntry:3343339079,incantation-2022,https://letterboxd.com/film/incantation-2022/
filmListEntry:3343339080,"Needful Things (1993) ",filmListEntry:3343339080,needful-things,https://letterboxd.com/film/needful-things/
filmListEntry:3343339081,"Amityville: The Evil Escapes (1989) ",filmListEntry:3343339081,amityville-the-evil-escapes,https://letterboxd.com/film/amityville-the-evil-escapes/
filmListEntry:3348195935,"Halloween Ends (2022) ",filmListEntry:3348195935,halloween-ends,https://letterboxd.com/film/halloween-ends/
filmListEntry:3358310272,"Dark Night of the Scarecrow (1981) ",filmListEntry:3358310272,dark-night-of-the-scarecrow,https://letterboxd.com/film/dark-night-of-the-scarecrow/
